title,text,rating,rating_number,image_url,description,clean_text
The Replacements (Keepcase),like,4.8,10844.0,"{'thumb': 'https://m.media-amazon.com/images/I/5174KeB994L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/5174KeB994L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91RS142JbXL._SL1500_.jpg'}","['Replacements, The (DVD)', 'A mismatched crew of outsiders gets a second chance at greatness when it is recruited to play pro football after the regular team goes on strike. As they amaze everyone with their winning streak, the ragtag players discover in themselves the ability to dream bigger.', ']]>']",like
The Sixth Sense (Collector's Edition Series),This is the only Shyamalan movie that I found to be scary. It's a very good horror movie with a great plot and screenplay. The plot is about a young boy who sees dead people. But these dead people think that they are alive. A psychiatrist who had a tragedy occur tries to help this young boy throughout the movie. The ending is surprising and very unpredictable. It actually is quite scary and I remember looking under my bed the first time I saw it. (I was like 10 or 11) Bruce Willis and Haley Joel Osment give quite wonderful performances and this one will probably have you scared. I recommend it for anyone who wants to have some good scares.,4.8,15051.0,"{'thumb': 'https://m.media-amazon.com/images/I/418mum2foeL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/418mum2foeL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71+c+IrYfHL._SL1500_.jpg'}","['Product Description', ""Hollywood superstar Bruce Willis (ARMAGEDDON, THE SIEGE) brings a powerful presence to an edge-of-your-seat thriller from writer-director M. Night Shyamalan (Oscar(R)-nominee for Best Original Screenplay and Best Director) that critics are calling one of the greatest ghost stories ever filmed. When Dr. Malcolm Crowe (Willis), a distinguished child psychologist, meets Cole Sear (Oscar(R)-nominee Haley Joel Osment, Best Supporting Actor), a frightened, confused, eight-year-old, Dr. Crowe is completely unprepared to face the truth of what haunts Cole. With a riveting intensity you'll find thoroughly chilling, the discovery of Cole's incredible sixth sense leads them to mysterious places with unforgettable consequences!"", 'Amazon.com', '""I see dead people,"" whispers little Cole Sear (Haley Joel Osment), scared to affirm what is to him now a daily occurrence. This peaked 9-year old, already hypersensitive to begin with, is now being haunted by seemingly malevolent spirits. Child psychologist Malcolm Crowe (Bruce Willis) is trying to find out what\'s triggering Cole\'s visions, but what appears to be a psychological manifestation turns out to be frighteningly real. It might be enough to scare off a lesser man, but for Malcolm it\'s personal--several months before, he was accosted and shot by an unhinged patient, who then turned the gun on himself. Since then, Malcolm has been in turmoil--he and his wife (Olivia Williams) are barely speaking, and his life has taken an aimless turn. Having failed his loved ones and himself, he\'s not about to give up on Cole.', ""This third feature by M. Night Shyamalan sets itself up as a thriller, poised on the brink of delivering monstrous scares, but gradually evolves into more of a psychological drama with supernatural undertones. Many critics faulted the film for being mawkish and New Age-y, but no matter how you slice it, this is one mightily effective piece of filmmaking. The bare bones of the story are basic enough, but the moody atmosphere created by Shyamalan and cinematographer Tak Fujimoto made this one of the creepiest pictures of 1999, forsaking excessive gore for a sinisterly simple feeling of chilly otherworldliness. Willis is in his strong, silent type mode here, and gives the film wholly over to Osment, whose crumpled face and big eyes convey a child too wise for his years; his scenes with his mother (Toni Collette) are small, heartbreaking marvels. And even if you figure out the film's surprise ending, it packs an amazingly emotional wallop when it comes, and will have you racing to watch the movie again with a new perspective. You may be able to shake off the sentimentality of"", 'The Sixth Sense', ', but its craftsmanship and atmosphere will stay with you for days.', '--Mark Englehart']",this is the only shyamalan movie that i found to be scary its a very good horror movie with a great plot and screenplay the plot is about a young boy who sees dead people but these dead people think that they are alive a psychiatrist who had a tragedy occur tries to help this young boy throughout the movie the ending is surprising and very unpredictable it actually is quite scary and i remember looking under my bed the first time i saw it i was like 10 or 11 bruce willis and haley joel osment give quite wonderful performances and this one will probably have you scared i recommend it for anyone who wants to have some good scares
Hotel Transylvania 2,Not for me for someone rlse,4.8,31126.0,"{'thumb': 'https://m.media-amazon.com/images/I/51i2DZHSbFL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51i2DZHSbFL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91CPV0fpuaL._SL1500_.jpg'}","['In this all-new monster comedy adventure, everything seems to be changing for the better at Hotel Transylvania! However, Drac is worried that his adorable half-human, half-vampire grandson, Dennis, isn’t showing signs of being a vampire. So while Mavis is on vacation, things get batty as Drac enlists his monster friends Frank, Murray, Wayne, and Griffin to put Dennis through a “monster-in-training” boot camp! In theaters September 25.', 'Contact Sony customer service and receive a free digital code.']",not for me for someone rlse
Alone Yet Not Alone,"Absolutely loved this movie. It has personal meaning to me as my paternal great grandfather had been kidnapped as a child in the 1800's and taken by Indians, so I loved this story",4.2,1267.0,"{'thumb': 'https://m.media-amazon.com/images/I/51QNwDzlt7L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51QNwDzlt7L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91jCEwDlO4L._SL1500_.jpg'}","['Seeking religious freedom in America, a devout Christian family from Germany settles in the peaceful Pennsylvania colony - only to find themselves caught in the crossfire of the French & Indian War. Following a merciless raid on their settlement, daughters Barbara and Regina are abducted, separated, then raised by their Delaware captors in the harsh Ohio wilderness. Only their devotion to each other and faith in God can lead them through their darkest hours and back to freedom in this inspirational, epic true story. Highlights: Nominated for an Academy Award in 2013 (later rescinded) created a massive media storm Title Songs’ Music Video by Joni Eareckson Tada received more than 1.2 million YouTube views Praise for Alone Yet Not Alone: “This inspirational true story is sure to get to your heart and elevate your spirit.” ? Dr. James Dobson, Focus on the Family “I loved it! The story is gripping, photography stunning and message so wonderfully reassuring. On behalf of the scores of viewers whose spirits will be lifted by this project - thank you, thank you, thank you.” ? Max Lucado, best-selling author, writer and pastor “A compelling story of faith, courage and God’s providential care in the midst of a very real danger. If you are looking for a movie that reinforces the values you and your family are living by you’ve found it. This is a MUST SEE adventure movie for every family.” ? Dr. Dennis Rainey, President and CEO FamilyLife']",absolutely loved this movie it has personal meaning to me as my paternal great grandfather had been kidnapped as a child in the 1800s and taken by indians so i loved this story
"War, 10-Movie Collection: The Eagle and The Hawk / The Last Outpost / Bengal Brigad / Jet Pilot / Ulzana's Raid / To Hell and Back / In Enemy Country / Raid on Rommel / Battle Hymn / Wake Island(Packaging may vary)",A good collection of classic war movies.,4.5,2278.0,"{'thumb': 'https://m.media-amazon.com/images/I/61xh7pEIy9L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61xh7pEIy9L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91Y0A0Iz90L._SL1500_.jpg'}","[""The Eagle and the Hawk: This powerful anti-war drama starsCary GrantandFredric Marchas rival pilots with opposing codes of honor during World War I. The Last Outpost: Blending action-adventure with romantic melodrama, this rousing saga follows a British prisoner (Cary Grant) who is rescued from a firing squad by his cellmate (Claude Rains). Wake Island: Based on a true story, this hard-hitting film follows a handful of U.S. Marines holding out against an overwhelming Japanese air, land and sea assault. Bengal Brigade: Set during British India in 1857, Captain Claybourne (Rock Hudson) is faced with restoring his reputation after being harshly disciplined for disobeying orders. To Hell and Back: Audie Murphy, the most decorated American soldier of WWII, plays himself in this gripping, action-packed battle saga featuring amazingly realistic war footage. Battle Hymn: Based on actual events during the Korean War, a remorseful bomber pilot (Rock Hudson) must come to terms with his past after an unthinkable accident. Jet Pilot: Heroic Air Force Colonel Jim Shannon (John Wayne) takes to the skies to save a beautiful Russian lady pilot (Janet Leigh) accused of being a spy. In Enemy Country: Wartime secret agents are on a mission to destroy a deadly new type of torpedo, hidden in a Nazi stronghold in France. Raid on Rommel: A British intelligence officer (Richard Burton) leads a daring attack on the German shore defenses at Tobruk during World War II. Ulzana's Raid: A scout (Burt Lancaster) is assigned to aid the cavalry in tracking down Ulzana and his band of renegade Indians in this fact-based story."", ']]>']",a good collection of classic war movies
Raising Helen (Widescreen Edition),"Helen Harris (Kate Hudson) was along with sister 'Lindsay' raised by elder sister 'Jenny' (Joan Cusack) after the death of<br />their mother....these days 'Helen' lives life to the full, and has a glittering career as C.E.O  in a top-flight model-agency<br />working with boss  'Dominique' (Helen Mirren) - life is good....however, 'Helen's' world is about to be turned upside down,<br />sister 'Lindsay' and her husband are killed in a car-accident...<br />When their Will is read 'Lindsay' and 'Paul' want 'Helen' to bring-up their three children 'Audrey' (Hayden Panettiere) -<br />'Henry' (Spencer Breslin) and 'Sarah' (Abigail Breslin) ...the request coming as a big-shock to both 'Helen' and indeed the<br />experienced mother 'Jenny'<br />Well, despite her lack of skills in the parenting department 'Helen' wanting to carry out 'Lindsay's' wishes sets about trying<br />to be a parent to the three......she'll soon find that trying to juggle her career around bringing the children up doesn't work,<br />she'll have to walk away from the job she loves.<br />There are a million things for 'Helen' to think of bringing up children, even if one 'Audrey' at 15 feels she should be considered<br />grown-up, one thing that has to be sorted is schooling, a local religeous-school seems an ideal choice.<br />The school-principal and Lutheran-Pastor soon takes a shine to 'Helen' and the children, he hopes for romance, however does<br />the once high-flyer see 'Paster Dan Parker' (John Corbett) in the same light ?<br />As time moves on, 'Helen' misses her old life-style and questions whether 'Lindsay' had made the right choice, so much so<br />she will turn to 'Jenny' to take charge....however, 'Helen' has become very attached to the children, which will leave her with<br />a decision to be made......had 'Lindsay' made the right choice all along ?......will romance with the Pastor blossom ?<br />There are many light-hearted and amusing moments along the way, though the film is tinged with a sad event, it is overall a<br />genuine feel-good movie.<br />Features -<br /> *Blooper Reel<br /> *Deleted Scenes -<br />Tinka & The Paparazzi<br />Making Breakfast<br />Friends Stop By<br />Bridal Fashions<br />Day Care<br />Day Care (Outtake)<br />* Audio Commentary<br />* Music Video by Liz Phair  ''Extraordinary''",4.7,1096.0,"{'thumb': 'https://m.media-amazon.com/images/I/518mBXLUmyL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/518mBXLUmyL.jpg', 'variant': 'MAIN', 'hi_res': None}","['Product Description', ""Academy Award(R) nominee Kate Hudson (Best Supporting Actress, ALMOST FAMOUS, 2000; HOW TO LOSE A GUY IN 10 DAYS) lights up the screen with John Corbett (MY BIG FAT GREEK WEDDING) in this hit romantic comedy from the director of THE PRINCESS DIARIES and PRETTY WOMAN! Helen Harris (Hudson) has a glamorous, big-city life ... working for one of New York's hottest modeling agencies. But suddenly her free-spirited life gets turned upside down when she must chose between the life she's always loved ... and the new loves of her life! Also starring Joan Cusack (IN & OUT), RAISING HELEN is a laugh-filled treat you're sure to fall in love with!"", 'Review', '""A wonderfully funny and touching tale with a radiant performance by Kate Hudson."" --', 'David Sheehan, SUMMER MOVIE MAGIC', '""Funny & poignant \x96 Great performances from Kate Hudson and Joan Cusack."" --', 'Bill Zwecker, CHICAGO-SUN TIMES', '""This sort of film thrives on chemistry, and Hudson and Corbett make it sparkle."" --', 'James Verniere, BOSTON HERALD']",helen harris kate hudson was along with sister lindsay raised by elder sister jenny joan cusack after the death ofbr their motherthese days helen lives life to the full and has a glittering career as ceo in a topflight modelagencybr working with boss dominique helen mirren life is goodhowever helens world is about to be turned upside downbr sister lindsay and her husband are killed in a caraccidentbr when their will is read lindsay and paul want helen to bringup their three children audrey hayden panettiere br henry spencer breslin and sarah abigail breslin the request coming as a bigshock to both helen and indeed thebr experienced mother jennybr well despite her lack of skills in the parenting department helen wanting to carry out lindsays wishes sets about tryingbr to be a parent to the threeshell soon find that trying to juggle her career around bringing the children up doesnt workbr shell have to walk away from the job she lovesbr there are a million things for helen to think of bringing up children even if one audrey at 15 feels she should be consideredbr grownup one thing that has to be sorted is schooling a local religeousschool seems an ideal choicebr the schoolprincipal and lutheranpastor soon takes a shine to helen and the children he hopes for romance however doesbr the once highflyer see paster dan parker john corbett in the same light br as time moves on helen misses her old lifestyle and questions whether lindsay had made the right choice so much sobr she will turn to jenny to take chargehowever helen has become very attached to the children which will leave her withbr a decision to be madehad lindsay made the right choice all along will romance with the pastor blossom br there are many lighthearted and amusing moments along the way though the film is tinged with a sad event it is overall abr genuine feelgood moviebr features br blooper reelbr deleted scenes br tinka the paparazzibr making breakfastbr friends stop bybr bridal fashionsbr day carebr day care outtakebr audio commentarybr music video by liz phair extraordinary
Carrie (Special Edition),"I've read the book Carrie in one day. I've seen the movie and the remake, the original is always the best but the remake went more along the book. Sissy is Carrie and Chloe could have been her kid sister. Just read the book then watch the original then read the book again.",4.7,5142.0,"{'thumb': 'https://m.media-amazon.com/images/I/51x9Z6dQhPL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51x9Z6dQhPL.jpg', 'variant': 'MAIN', 'hi_res': None}","['Director Brian DePalma brings Stephen King\'s novel to the screen with this classic horror film. Sissy Spacek stars as Carrie, a shy and introverted high school girl who is relentlessly tormented by her classmates. But when she learns she has telekinetic powers, Carrie unleashes them in a bloody campaign of vengeance. With Nancy Allen, John Travolta, Amy Irving, P.J. Soles, William Katt, and Piper Laurie. 98 min. Widescreen (Enhanced); Soundtracks: English Dolby Digital 5.1, Dolby Digital mono, French Dolby Digital mono, Spanish Dolby Digital mono; Subtitles: French, Spanish; ""making of"" documentary; featurette; photo gallery; biography; theatrical trailer.']",ive read the book carrie in one day ive seen the movie and the remake the original is always the best but the remake went more along the book sissy is carrie and chloe could have been her kid sister just read the book then watch the original then read the book again
20 Great Westerns: Heroes & Bandits (4 Disc Set) [DVD],Still  watching the movies.,4.3,125.0,"{'thumb': 'https://m.media-amazon.com/images/I/512PAwk+cJL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/512PAwk+cJL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61aFH-J+gVL._SL1000_.jpg'}","[""This 20 Film Western Collector's Edition contains some of the greatest western films and legendary stars of the 20th century. Don't miss classic John Wayne, Jack Palance, Lee Van Cleef, William Shatner and many more as they fight to stay alive and bring the bad guys to justice. Powderkeg, To the Last Man, Winds of the Wasteland, Rage At Dawn, Cry Blood Apache, It Can Be Done Amigo, Chino, Blue Steel, Desperate Mission, Hanged Man, The Grand Duel, The Sundowners, Boot Hill, Song of Arizona, This Man Can't Die, Hellbenders, Kid Vengeance, My Outlaw Brother, Between God The Devil and a Winchester, White Comanche. This video has been manufactured from the best quality video master currently available; audio or image quality may vary.""]",still watching the movies
Hum Dil De Chuke Sanam,"If I could give a movie 10 stars, this would be one of them. Just an exquisite movie. Watched this about 5 times over a couple of years and finally had to buy it. Not only beyond belief beautiful sets, costumes, people, storyline, dancing and playfulness balanced with depth of the story; and the genius & incomparable excellence of Sanjay Leela Bhansali's movie creations, but it is such an unexpected love story. Don't give up 1/2 way through when she gets sad and things take a nose-dive. Believe me, this story is a watch-til-the-end masterpeice. Hope you enjoy it, too.",3.7,83.0,"{'thumb': 'https://m.media-amazon.com/images/I/51LT79+206L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51LT79+206L.jpg', 'variant': 'MAIN', 'hi_res': None}","[""Indian-based traditional family of Pundit Darbar (Vikram Gokhale) gets a visit from Sameer Rafilini (Salman Khan), from Italy, who has come as a pupil to learn music and singing. Darbar and his family accept him. Sameer meets Nandini (Aishwarya Rai), Darbar's daughter and both fall in love. But Darbar wants Nandini to wed Vanraj (Ajay Devgan) and has Sameer swear that he will leave India and not marry Nandini, as his guru-dakshina (fee), to which Sameer agrees. Nandini is heart broken, but does reluctantly marry Vanraj. When Vanraj finds out that Nandini is in love with Sameer, he takes her to Italy, so that both can be together again. Nandini must now come to terms with living with Sameer in Italy or alienating her family and her new groom.""]",if i could give a movie 10 stars this would be one of them just an exquisite movie watched this about 5 times over a couple of years and finally had to buy it not only beyond belief beautiful sets costumes people storyline dancing and playfulness balanced with depth of the story and the genius incomparable excellence of sanjay leela bhansalis movie creations but it is such an unexpected love story dont give up 12 way through when she gets sad and things take a nosedive believe me this story is a watchtiltheend masterpeice hope you enjoy it too
The Sword of Swords (Shaw Brothers),Spoiler Alert:  An odd Kung-Fu film with an unwilling hero who against great odds embraces his role of the holder to a powerful sword and goes on a quest to reclaim it from a villain.  Great action and character development.,4.3,32.0,"{'thumb': 'https://m.media-amazon.com/images/I/51ekSb+fzgL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ekSb+fzgL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91YuPoPUNJL._SL1500_.jpg'}","['This Shaw Brothers classic, masterfully directed by Hua Shan (The 14 Amazons), is a harrowing lesson in achieving the coveted Number One sword-wielding status. Ti Lung (Opium and the Kung- Fu Master, A Better Tomorrow) is the Nameless Swordsman bent on defeating the faceless King of Swords to claim the title, and the glory, for himself. Hordes of fighters lunge from the shadows to cut down the mysterious challenger. Even a cunning seductress takes a stab at him in a revealing bath house assassination. It is said that a man s weapon reflects his utmost dreams, desires and fears. A warrior with no name and one motive has a soul as merciless as cold steel.']",spoiler alert an odd kungfu film with an unwilling hero who against great odds embraces his role of the holder to a powerful sword and goes on a quest to reclaim it from a villain great action and character development
How Stella Got Her Groove Back,Good movie to watch with your lady,4.7,2832.0,"{'thumb': 'https://m.media-amazon.com/images/I/51KtRPGHIFL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51KtRPGHIFL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91BW2sNfQ6L._SL1500_.jpg'}",[],good movie to watch with your lady
Babe,"Love this movie, it's a classic!",4.8,7551.0,"{'thumb': 'https://m.media-amazon.com/images/I/51gXKiK9bGL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51gXKiK9bGL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81xESre-6lL._SL1500_.jpg'}","[""Academy Award winner and Best Picture nominee, Babe is the inspirational story of a shy Yorkshire piglet who doesn't quite know his place in the world. But when Farmer Hoggett (James Cromwell) wins him at the county fair, Babe discovers that he can be anything he wants to be - even an award-winning sheepdog! With the help of a delightful assortment of barnyard friends, the heroic little pig is headed for the challenge of his life in this endearing and fun-filled tale the whole family will love.Bonus Content:"", 'Feature Commentary with Writer/Producer George Miller', 'Feature Commentary with Writer/Producer George Miller', 'The Making of Babe', 'The Making of Babe', 'Farmyard Friends Game', 'Farmyard Friends Game', ""Babe's Challenge Game"", ""Babe's Challenge Game"", 'Sheep Ma-a-ath Game', 'Sheep Ma-a-ath Game', 'George Miller on Babe', 'George Miller on Babe', 'Recommendations', 'Recommendations']",love this movie its a classic
One Million Years B.C.,"This is a great old caveman movie I first saw in a theater as a teenager. If you enjoy this genre, you will probably enjoy this. The acting and Harryhausen's work in the production make it predictable but enjoyable. Note that the version I am reviewing (the R2 PAL import) is uncropped widescreen, but it is not an anamorphic transfer and is letterboxed, so it has huge black bars on the top, bottom and sides on any TV. The transfer is very good, with sharp images but the letterboxing wastes bitrate. If you use the zoom or similar control on your TV or player, the image quality degrades. It does have the interviews with Welch and Harryhausen that are apparently missing on the Region 1 NTSC disc, which sounds terrible (see the other reviews below). This is better, but far from the definitive version that its fans deserve. Since it is PAL, you will need a multistandard player to watch it on a TV in the US without converting it using software. It should play on most PCs with no conversion but will require changing the region code of your optical drive or a region-free driver (google 'Passkey').",4.6,1269.0,"{'thumb': 'https://m.media-amazon.com/images/I/51n+KIYKNaL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51n+KIYKNaL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1svVAr08vL._SL1500_.jpg'}",['dvd REGION 2'],this is a great old caveman movie i first saw in a theater as a teenager if you enjoy this genre you will probably enjoy this the acting and harryhausens work in the production make it predictable but enjoyable note that the version i am reviewing the r2 pal import is uncropped widescreen but it is not an anamorphic transfer and is letterboxed so it has huge black bars on the top bottom and sides on any tv the transfer is very good with sharp images but the letterboxing wastes bitrate if you use the zoom or similar control on your tv or player the image quality degrades it does have the interviews with welch and harryhausen that are apparently missing on the region 1 ntsc disc which sounds terrible see the other reviews below this is better but far from the definitive version that its fans deserve since it is pal you will need a multistandard player to watch it on a tv in the us without converting it using software it should play on most pcs with no conversion but will require changing the region code of your optical drive or a regionfree driver google passkey
Guardians of the Galaxy,Great movie with a small skip in the playback.  Did not contact supplier.  Play as soon as possible to check function.  I don't blame supplier for that.,4.8,52536.0,"{'thumb': 'https://m.media-amazon.com/images/I/61PB8ewiizL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61PB8ewiizL.jpg', 'variant': 'MAIN', 'hi_res': None}","[""From Marvel, the studio that brought you the global blockbuster franchises of Iron Man, Thor, Captain America and The Avengers, comes a new team—the Guardians of the Galaxy. An action-packed, epic space adventure, Marvel's Guardians of the Galaxy expands the Marvel Cinematic Universe into the cosmos, where brash adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits—Rocket, a gun-toting raccoon, Groot, a tree-like humanoid, the deadly and enigmatic Gamora and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last desperate stand—with the galaxy's fate in the balance.""]",great movie with a small skip in the playback did not contact supplier play as soon as possible to check function i dont blame supplier for that
Zach Stone Is Gonna Be Famous,10/10 would bang,4.8,986.0,"{'thumb': 'https://m.media-amazon.com/images/I/41tpHYVfonL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41tpHYVfonL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61Rbad5DEcL._SL1000_.jpg'}",[],1010 would bang
Marlene Dietrich: The Glamour Collection (Morocco/ Blonde Venus/ The Devil Is a Woman/ Flame of New Orleans/ Golden Earrings),Good to get 4 movies - cd DOES SKIP at one point but too hard to find so i am keeping it - amazon prime cost $ to even blink - all good old movies $$$ COST AN ARM AND A LEG & we were rasied on them for FREE ...  not  rt !,4.6,265.0,"{'thumb': 'https://m.media-amazon.com/images/I/51bUt9WmkAL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51bUt9WmkAL.jpg', 'variant': 'MAIN', 'hi_res': None}","['Product Description', 'Undeniably one of the most beautiful and dazzling actresses to ever grace the silver screen, Marlene Dietrich was renowned for her sultry voice and her alluring ""bedroom eyes."" This unprecedented 5-movie collection pays homage to the legendary Oscar®-nominated leading lady whose extraordinary talents revolutionized cinema and inspired passion in audiences around the globe. See Marlene in her American movie debut as a glamorous cabaret singer in Morocco; experience the heart-wrenching anguish of a woman torn between two men, her successful career on stage and her child in Blonde Venus; join in the mystery and mayhem of Spain\'s Carnevale in The Devil Is a Woman; hit the road to jewels and jeopardy in The Flame of New Orleans; and be seduced by a lusty gypsy on a secret mission during World War II in Golden Earrings. It\'s a stunning tribute to a screen siren who remains one of the most fascinating women of all time.', 'Bonus Content:', 'Disc 1 - Morocco:', 'Theatrical Trailer', 'Theatrical Trailer', 'Disc 2 - Golden Earrings:', 'Theatrical Trailer', 'Theatrical Trailer', ']]>', 'Amazon.com', ""Marlene Dietrich was one of the cinema's glorious creatures, an elegant arrangement of bone structure and silver light, blessed with a sly sense of humor."", 'Marlene Dietrich: The Glamour Collection', 'assembles five titles featuring la Dietrich at her best, with a special emphasis on one of the great Hollywood director-star collaborations.', 'Dietrich and director Josef von Sternberg met in Germany when he plucked her from obscurity for the starring role of', 'The Blue Angel', ', after which she came to America and instant stardom. A string of films with Sternberg created her image as an exotic source of fascination, both ethereal and sexually knowing. Three of those outings are included in this package.', 'Morocco', ', their first Hollywood movie together, is a delirious look at a cabaret singer taken with a Foreign Legion soldier (the young Gary Cooper). Dressed in masculine clothes for her act, Dietrich already displays a sexual confidence that fairly burns off the screen.', 'Blonde Venus', ""has a soap opera-ish plot about a woman's fall and rise, but Dietrich's commitment to the part is complete; plus, there's an outrageous faux-African number that begins with Dietrich dressed in a gorilla costume. Cary Grant looks on in astonishment."", 'The Devil Is a Woman', 'is an unmitigated Sternberg-Dietrich masterpiece, and their final movie together. Here Marlene is a Spanish vixen making life exciting and miserable for Lionel Atwill (a lookalike stand-in for Josef von Sternberg himself). The film is an eye-popping light-painting draped with feathers, mesh, and confetti, all of which are in service to a fundamentally serious inquiry into the knotty business of men and women.', 'Putting three of the Paramount Dietrich-Sternberg films in this collection and leaving out the other three is either carelessness or marketing strategy. In any case, the other two movies in this package are not at the same level, but certainly good fun.', 'The Flame of New Orleans', "", director Rene Clair's first Hollywood picture, is a gorgeously photographed comedy with a delightful role for its star. Dietrich is stuck choosing between aristocrat Roland Young and rough sailor Bruce Cabot. The look on her face as she listens to helpful advice about wedding-night conjugal realities from a matron is a riot of erotic mischief."", 'Golden Earrings', ""is a crazy story about Ray Milland getting stuck behind German lines in the early days of WWII, and being taken in by gypsy girl Dietrich. Even here, nearly 20 years after her first stardom, she's still Dietrich. The hair may be dyed black, but the cheekbones are unmistakable."", '--Robert Horton']",good to get 4 movies cd does skip at one point but too hard to find so i am keeping it amazon prime cost to even blink all good old movies cost an arm and a leg we were rasied on them for free not rt
"Triple Action Feature: Children Of The Bride,Baby Of The Bride, Mother Of The Bride",So happy to find this on dvd,4.2,84.0,"{'thumb': 'https://m.media-amazon.com/images/I/51qxgEN69dL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51qxgEN69dL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71wRpPJ3A-L._SL1200_.jpg'}",[],so happy to find this on dvd
Legally Blonde,Another movie that you can only watch once in awhile.,4.8,17562.0,"{'thumb': 'https://m.media-amazon.com/images/I/51oZXN8w+sL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51oZXN8w+sL.jpg', 'variant': 'MAIN', 'hi_res': None}",[],another movie that you can only watch once in awhile
